Suite;Situated
Duine;Persón
Amach;Out
Nuair;When
Baile;Home
Féidir;Possibility
Maith;Good
Amháin;Only
Teanga;Language
Gaeilge;Irish
Chomh;As
Isteach;In
Úsáid;Use
Focal;Word
Ceann;Head
Anuas;Down
Faoin;Under
Leith;Side
Obair;Work
Anois;Now
Bliain;Year
Lucht;People
Freisin;Also
Leabhar;Book
Ábhar;Subject
Ansin;There
Roinnt;Some
Bailiú;Collect
Aghaidh;Face
Scoil;School
Baint;Take
Taobh;Side
Láthair;Present
Scéal;Story
Sásta;Satisfied
Áfach;However
Measc;Mixture
Céanna;Same
Roimh;Before
Inniu;Today
Againn;At us
Uisce;Water
Cogadh;War
Áirithe;Certain
Scríobh;Write
Minic;Often
Rialtas;Government
Ceantar;Area
Déanamh;Doing
Cosúil;Similar
Eolas;Knowledge
Éigin;Some
Oiread;As much
Cineál;Kind
Anseo;Here
Roimhe;Before
Déanta;Done
Ceart;Correct
Domhain;Deep
Mórán;Many
Thart;Around
Áireamh;Count
Muintir;People, family
Díreach;Straight
Feadh;Length
Poiblí;Public
Ionad;Place
Riamh;Ever
Leagan;Version
Gurbh;That
Scríofa;Written
Contae;County
Cinnte;Certain
Áitiúil;Local
Tuairim;Opinion
Seachas;Except
Deacair;Difficult
Stair;History
Dóigh;Way
Láidir;Strong
Caite;Spent
Fosta;Also
Amuigh;Outside
Gluais;Move
Athrú;Change
Córas;System
Dócha;Likely
Béarla;English
Saothar;Work
Cúpla;Couple
Iomlán;Complete
Déanaí;Recent
Dúinn;Us
Teach;House
Cheana;Already
Chuig;To
Éirigh;Rise
Éagsúil;Various
Réimse;Range
Fóill;Delay
Solas;Light
Thuaidh;North
Grúpa;Group
Feidhm;Function
Oíche;Night
Tosaigh;Begin
Ceithre;Four
Suíomh;Location
Chóir;Right
Scannán;Film
Cuairt;Visit
Airde;Height
Taighde;Research
Imirt;Play
Ríocht;Kingdom
Seans;Chance
Iontach;Wonderful
Duais;Prize
Téarma;Term
Ionann;Equal
Toradh;Result
Oileán;Island
Domhan;World
Raidió;Radio
Páirtí;Party
Naomh;Saint
Féach;Look
Thiar;West
Istigh;Inside
Nuacht;News
Cathair;City
Laghad;Least
Rogha;Choice
Cónai;Residence
Éileamh;Demand
Amhán;Song
Béarla;English language
Teideal;Title
Fágtha;Left
Airgead;Money
Triúr;Trio
Luath;Fast, quick
Talamh;Land
Roinn;Department
Rannóg;Section
Breis;Excess
Cumann;Association
Amhras;Doubt
Glacadh;Acceptance
Páirt;Part
Neart;Strength
Taithí;Experience
Caint;Speech
Faoina;Under
Freagra;Answer
Seasamh;Stance, stand
