melyn,yellow
llwyd,grey
dinas,city
telyn,harp
llawr,floor
llyfr,book
cofio,to remember
brawd,brother
cawod,shower
sebon,soap
gallu,can
dallt,to understand
blino,tired
ysgol,school
dynes,woman
merch,girl
plant,children
gwely,bed
cysgu,to sleep
dysgu,to learn
adref,home
gweld,to see
gaeaf,winter
gwynt,wind
poeth,hot
cacen,cake
melys,sweet
hoffi,to like
gwych,excellent
prynu,to buy
gyrru,to drive
flaen,front
arall,else
teulu,family
fflat,flat
droed,foot
hufen,cream
swper,dinner
saith,seven
munud,minute
ffilm,film
bwyta,to eat
cegin,kitchen
lolfa,living room
cwpan,cup
halen,salt
bwrdd,table
beiro,pen
rygbi,rugby
swydd,job
coffi,coffee
brown,brown
