gwyrdd,green
cantor,singer
hanner,half
heulog,sunny
brwsio,to brush
gwallt,hair
gwylio,to watch
golchi,to wash
chwaer,sister
gwybod,to know
gynnar,early
cynnes,warm
teledu,television
sinema,cinema
tafarn,pub
cadair,chair
pedwar,four
dillad,clothes
gwener,friday
sadwrn,saturday
mawrth,tuesday
siarad,to talk
rhedeg,to run
paffio,to box
newydd,new
heddlu,police
edrych,to look
chwech,six
hugain,twenty
deunaw,eighteen
bechod,poor
traeth,beach
blodyn,flower
blwydd,year
hydref,autumn
gwisgo,to dress
prysur,busy
pwysig,important
ymweld,visit
ysbyty,hospital
gadael,to leave
geirfa,vocabulary
heddiw,today
gwaith,work
darlun,picture
eisiau,to want
gwneud,to do
tywydd,weather
dringo,to climb
diflas,boring
